,PLAYER,POS,FPTS,VOR,VALUERANK
27,Sam Darnold,QB,224.4,-35.99999999999997,154.0
61,Steven Sims,WR,113.65,-36.44999999999999,155.0
23,Jace Sternberger,TE,89.1,-37.20000000000002,156.0
65,Dede Westbrook,WR,112.05000000000001,-38.04999999999998,157.0
46,Antonio Gibson,RB,101.25,-38.25,158.0
68,Danny Amendola,WR,111.55000000000001,-38.54999999999998,159.0
22,Greg Olsen,TE,87.6,-38.70000000000002,160.0
43,Zack Moss,RB,100.6,-38.900000000000006,161.0
62,Corey Davis,WR,110.9,-39.19999999999999,162.0
64,Hunter Renfrow,WR,109.55000000000001,-40.54999999999998,163.0
60,Mecole Hardman,WR,109.45,-40.64999999999999,164.0
24,Kyle Rudolph,TE,85.6,-40.70000000000002,165.0
67,Cole Beasley,WR,109.0,-41.099999999999994,166.0
63,Michael Pittman Jr.,WR,108.25,-41.849999999999994,167.0
45,Boston Scott,RB,97.45,-42.05,168.0
70,Larry Fitzgerald,WR,105.05000000000001,-45.04999999999998,169.0
51,Nyheim Hines,RB,94.4,-45.099999999999994,170.0
47,Ke'Shawn Vaughn,RB,93.0,-46.5,171.0
66,Tyrell Williams,WR,102.6,-47.5,172.0
26,Jimmy Graham,TE,78.8,-47.500000000000014,173.0
50,Tony Pollard,RB,91.55,-47.95,174.0
28,Irv Smith Jr.,TE,78.0,-48.30000000000001,175.0
48,Justin Jackson,RB,90.55,-48.95,176.0
25,Dawson Knox,TE,77.25,-49.05000000000001,177.0
69,Brandon Aiyuk,WR,100.65,-49.44999999999999,178.0
27,Tyler Eifert,TE,75.85,-50.45000000000002,179.0
71,Alshon Jeffery,WR,98.75,-51.349999999999994,180.0
49,Alexander Mattison,RB,87.5,-52.0,181.0
72,Randall Cobb,WR,97.85,-52.25,182.0
31,C.J. Uzomah,TE,73.30000000000001,-53.0,183.0
73,Denzel Mims,WR,95.44999999999999,-54.650000000000006,184.0
29,Darren Fells,TE,70.85,-55.45000000000002,185.0
74,Josh Reynolds,WR,93.25,-56.849999999999994,186.0
30,O.J. Howard,TE,69.3,-57.000000000000014,187.0
32,David Njoku,TE,69.0,-57.30000000000001,188.0
53,Darrynton Evans,RB,79.9,-59.599999999999994,189.0
75,Parris Campbell,WR,90.4,-59.69999999999999,190.0
33,Gerald Everett,TE,65.95,-60.35000000000001,191.0
76,Chris Conley,WR,89.45,-60.64999999999999,192.0
54,Jamaal Williams,RB,78.55,-60.95,193.5
52,Chase Edmonds,RB,78.55,-60.95,193.5
77,Tee Higgins,WR,88.95,-61.14999999999999,195.0
55,Jalen Richard,RB,77.8,-61.7,196.0
78,Russell Gage,WR,87.0,-63.099999999999994,197.0
34,Nick Boyle,TE,62.85,-63.45000000000001,198.0
57,Ito Smith,RB,73.0,-66.5,199.0
80,Mohamed Sanu,WR,83.15,-66.94999999999999,200.0
79,James Washington,WR,82.80000000000001,-67.29999999999998,201.0
61,Giovani Bernard,RB,72.14999999999999,-67.35000000000001,202.0
62,Chris Thompson,RB,70.65,-68.85,203.0
35,Vance McDonald,TE,57.45,-68.85000000000001,204.0
59,Jerick McKinnon,RB,70.4,-69.1,205.0
83,Adam Humphries,WR,79.25,-70.85,206.0
37,Jordan Akins,TE,54.45,-71.85000000000001,207.0
36,Will Dissly,TE,53.9,-72.4,208.0
56,A.J. Dillon,RB,66.4,-73.1,209.0
40,Trey Burton,TE,52.400000000000006,-73.9,210.0
41,Devin Asiasi,TE,52.25,-74.05000000000001,211.0
81,Kenny Stills,WR,75.25,-74.85,212.0
58,Joshua Kelley,RB,64.55,-74.95,213.0
39,Dan Arnold,TE,50.85,-75.45000000000002,214.5
38,Anthony Firkser,TE,50.85,-75.45000000000002,214.5
42,Cole Kmet,TE,50.05,-76.25000000000001,216.0
82,John Ross,WR,73.55,-76.55,217.0
60,Malcolm Brown,RB,62.25,-77.25,218.0
63,LeSean McCoy,RB,62.0,-77.5,219.0
85,Antonio Gandy-Golden,WR,72.0,-78.1,220.0
84,Miles Boykin,WR,71.39999999999999,-78.7,221.0
86,KJ Hamler,WR,70.85,-79.25,222.0
87,Kendrick Bourne,WR,70.1,-80.0,223.0
89,Chase Claypool,WR,69.10000000000001,-80.99999999999999,224.0
88,Phillip Dorsett,WR,68.3,-81.8,225.0
43,Jordan Reed,TE,44.5,-81.80000000000001,226.0
90,Laviska Shenault Jr.,WR,68.0,-82.1,227.0
65,Ryquell Armstead,RB,57.15,-82.35,228.0
92,Willie Snead,WR,67.55,-82.55,229.0
66,Lamar Miller,RB,56.949999999999996,-82.55000000000001,230.0
91,Jakeem Grant,WR,67.45,-82.64999999999999,231.0
46,Jeremy Sprinkle,TE,43.1,-83.20000000000002,232.0
44,Ryan Griffin,TE,43.05,-83.25000000000001,233.0
69,Anthony McFarland Jr.,RB,55.900000000000006,-83.6,234.0
67,Rashaad Penny,RB,55.5,-84.0,235.0
71,Rex Burkhead,RB,55.349999999999994,-84.15,236.0
45,Jesse James,TE,42.1,-84.20000000000002,237.0
64,Benny Snell Jr.,RB,54.4,-85.1,238.0
70,Bryce Love,RB,53.5,-86.0,239.0
68,Carlos Hyde,RB,53.4,-86.1,240.0
49,Logan Thomas,TE,39.15,-87.15,241.0
48,Cameron Brate,TE,38.95,-87.35000000000001,242.0
47,Andrew Beck,TE,38.3,-88.00000000000001,243.0
28,Dwayne Haskins,QB,171.9,-88.49999999999997,244.0
50,Taysom Hill,TE,37.75,-88.55000000000001,245.0
72,Frank Gore,RB,50.55,-88.95,246.0
74,Dion Lewis,RB,50.400000000000006,-89.1,247.0
52,Maxx Williams,TE,37.2,-89.10000000000001,248.0
51,Matt LaCosse,TE,36.35,-89.95000000000002,249.0
54,Josh Oliver,TE,35.6,-90.70000000000002,250.5
55,Jason Witten,TE,35.6,-90.70000000000002,250.5
53,Jaeden Graham,TE,35.5,-90.80000000000001,252.0
80,Jaylen Samuels,RB,48.65,-90.85,253.0
73,Lynn Bowden Jr.,RB,47.95,-91.55,254.0
56,Jacob Hollister,TE,34.400000000000006,-91.9,255.0
57,Marcedes Lewis,TE,34.1,-92.20000000000002,256.0
94,Devin Duvernay,WR,57.5,-92.6,257.0
58,James O'Shaughnessy,TE,33.35,-92.95000000000002,258.0
59,Josh Hill,TE,32.3,-94.00000000000001,259.0
77,DeAndre Washington,RB,45.25,-94.25,260.0
93,Tre'Quan Smith,WR,55.45,-94.64999999999999,261.0
75,Darwin Thompson,RB,44.300000000000004,-95.19999999999999,262.0
82,Royce Freeman,RB,43.9,-95.6,263.0
76,Darrel Williams,RB,43.8,-95.7,264.0
85,Kyle Juszczyk,RB,42.75,-96.75,265.0
97,Olabisi Johnson,WR,53.3,-96.8,266.0
95,Zach Pascal,WR,52.900000000000006,-97.19999999999999,267.0
60,Garrett Griffin,TE,29.1,-97.20000000000002,268.0
81,Brian Hill,RB,41.949999999999996,-97.55000000000001,269.0
96,David Moore,WR,52.45,-97.64999999999999,270.0
61,Mo Alie-Cox,TE,27.9,-98.4,271.0
98,Ted Ginn,WR,51.65,-98.44999999999999,272.0
83,Lamical Perine,RB,40.95,-98.55,273.0
78,Gus Edwards,RB,40.55,-98.95,274.0
79,Damien Harris,RB,40.4,-99.1,275.0
64,Adam Shaheen,TE,27.15,-99.15,276.5
63,Tyler Kroft,TE,27.15,-99.15,276.5
99,Jake Kumerow,WR,50.5,-99.6,278.0
62,Stephen Sullivan,TE,26.7,-99.60000000000001,279.0
100,Marquez Valdes-Scantling,WR,49.95,-100.14999999999999,280.0
72,Jesper Horsted,TE,25.6,-100.70000000000002,281.0
66,Dalton Schultz,TE,24.95,-101.35000000000001,282.0
65,MyCole Pruitt,TE,24.599999999999998,-101.70000000000002,283.0
