,PLAYER,POS,FPTS,VOR,VALUERANK
26,Brevin Jordan,TE,80.45,-35.55,190.5
90,Devin Duvernay,WR,81.9,-36.14999999999999,192.0
87,Christian Watson,WR,80.85000000000001,-37.19999999999999,193.0
88,Jameson Williams,WR,79.4,-38.64999999999999,194.0
21,Jameis Winston,QB,259.3,-39.30000000000001,195.0
91,Sammy Watkins,WR,78.6,-39.45,196.0
22,Mac Jones,QB,258.8,-39.80000000000001,197.0
93,Jamison Crowder,WR,77.55,-40.5,198.0
92,Byron Pringle,WR,76.5,-41.55,199.0
89,James Washington,WR,76.39999999999999,-41.650000000000006,200.0
55,Zamir White,RB,66.6,-42.400000000000006,201.0
54,Gus Edwards,RB,66.3,-42.7,202.0
94,Nelson Agholor,WR,73.55,-44.5,203.0
23,Carson Wentz,QB,252.9,-45.70000000000002,204.0
97,Braxton Berrios,WR,72.15,-45.89999999999999,205.0
29,C.J. Uzomah,TE,69.6,-46.400000000000006,206.0
96,David Bell,WR,71.55,-46.5,207.0
27,Kyle Rudolph,TE,69.1,-46.900000000000006,208.0
98,Laviska Shenault Jr.,WR,70.9,-47.14999999999999,209.0
95,Keelan Cole Sr.,WR,70.75,-47.3,210.0
61,Damien Williams,RB,61.400000000000006,-47.599999999999994,211.0
57,D'Onta Foreman,RB,61.4,-47.6,212.0
62,Dontrell Hilliard,RB,61.2,-47.8,213.0
28,Isaiah Likely,TE,68.05,-47.95,214.0
24,Jared Goff,QB,250.6,-48.00000000000003,215.0
30,Cameron Brate,TE,67.35,-48.650000000000006,216.0
99,Olamide Zaccheaus,WR,68.05,-50.0,217.0
31,Adam Trautman,TE,65.80000000000001,-50.19999999999999,218.0
100,Velus Jones Jr.,WR,66.95,-51.099999999999994,219.0
59,Boston Scott,RB,57.6,-51.4,220.0
101,Freddie Swain,WR,66.45,-51.599999999999994,221.0
32,Jonnu Smith,TE,63.85,-52.15,222.0
60,Sony Michel,RB,56.7,-52.3,223.0
102,Quez Watkins,WR,65.6,-52.45,224.0
67,Samaje Perine,RB,55.650000000000006,-53.349999999999994,225.0
34,Tyler Conklin,TE,62.1,-53.9,226.0
103,Jauan Jennings,WR,63.3,-54.75,227.0
63,Ronald Jones II,RB,53.75,-55.25,228.0
33,Andrew Beck,TE,60.55,-55.45,229.0
64,Isaiah Spiller,RB,52.5,-56.5,230.0
65,Eno Benjamin,RB,52.35,-56.65,231.0
35,Harrison Bryant,TE,58.9,-57.1,232.0
66,Matt Breida,RB,51.75,-57.25,233.0
68,Darrel Williams,RB,51.5,-57.5,234.0
25,Baker Mayfield,QB,240.9,-57.70000000000002,235.0
69,Isiah Pacheco,RB,48.4,-60.6,236.0
36,Foster Moreau,TE,55.0,-61.0,237.0
104,Jalen Guyton,WR,56.95,-61.099999999999994,238.0
105,Dee Eskridge,WR,56.8,-61.25,239.0
72,Mike Davis,RB,47.449999999999996,-61.550000000000004,240.0
38,Tommy Tremble,TE,54.300000000000004,-61.699999999999996,241.0
37,Dan Arnold,TE,54.150000000000006,-61.849999999999994,242.0
71,J.J. Taylor,RB,46.199999999999996,-62.800000000000004,243.0
70,Phillip Lindsay,RB,45.2,-63.8,244.0
107,Chris Conley,WR,54.05,-64.0,245.0
39,Geoff Swaim,TE,50.8,-65.2,246.0
109,Terrace Marshall Jr.,WR,52.75,-65.3,247.0
73,Jeff Wilson Jr.,RB,43.4,-65.6,248.0
108,Josh Reynolds,WR,52.4,-65.65,249.0
75,Chuba Hubbard,RB,43.3,-65.7,250.0
40,Daniel Bellinger,TE,49.7,-66.3,251.0
74,D'Ernest Johnson,RB,42.050000000000004,-66.94999999999999,252.0
110,Laquon Treadwell,WR,50.95,-67.1,253.0
26,Davis Mills,QB,231.4,-67.20000000000002,254.0
106,Ty Montgomery,WR,50.699999999999996,-67.35,255.0
87,Kyle Juszczyk,RB,40.8,-68.2,256.0
76,Justin Jackson,RB,40.65,-68.35,257.0
111,James Proche II,WR,49.55,-68.5,258.0
44,Jordan Akins,TE,47.45,-68.55,259.0
41,Kendall Blanton,TE,46.9,-69.1,260.0
80,Kenyan Drake,RB,39.6,-69.4,261.0
114,Phillip Dorsett II,WR,48.550000000000004,-69.5,262.0
42,Jelani Woods,TE,46.449999999999996,-69.55000000000001,263.0
113,Amari Rodgers,WR,48.3,-69.75,264.0
77,Tyler Goodson,RB,38.699999999999996,-70.30000000000001,265.0
43,Donald Parham Jr.,TE,45.650000000000006,-70.35,266.0
112,Mack Hollins,WR,47.6,-70.44999999999999,267.0
45,Anthony Firkser,TE,44.949999999999996,-71.05000000000001,268.0
78,Ke'Shawn Vaughn,RB,37.199999999999996,-71.80000000000001,269.0
79,Hassan Haskins,RB,37.1,-71.9,270.0
46,Durham Smythe,TE,43.9,-72.1,271.0
88,Chris Evans,RB,36.65,-72.35,272.0
81,Zack Moss,RB,35.75,-73.25,273.0
82,Anthony McFarland Jr.,RB,35.55,-73.45,274.0
86,Myles Gaskin,RB,35.35,-73.65,275.0
115,Marquez Callaway,WR,44.35,-73.69999999999999,276.0
83,Craig Reynolds,RB,34.0,-75.0,277.0
51,Pharaoh Brown,TE,40.65,-75.35,278.0
84,Joshua Kelley,RB,33.5,-75.5,279.0
85,Tyrion Davis-Price,RB,33.3,-75.7,280.0
48,Cade Otton,TE,39.85,-76.15,281.0
47,Taysom Hill,TE,39.7,-76.3,282.0
49,O.J. Howard,TE,39.3,-76.7,283.0
50,Trey McBride,TE,38.65,-77.35,284.0
116,Jamal Agnew,WR,40.35,-77.69999999999999,285.0
52,Kylen Granson,TE,38.05,-77.95,286.0
53,Josiah Deguara,TE,37.8,-78.2,287.0
90,Giovani Bernard,RB,30.7,-78.3,288.0
94,Travis Homer,RB,30.35,-78.65,289.0
101,Ty Montgomery,RB,29.75,-79.25,290.0
121,Tyler Johnson,WR,38.75,-79.3,291.0
55,Will Dissly,TE,36.55,-79.45,292.0
119,Noah Brown,WR,38.45,-79.6,293.0
118,Darius Slayton,WR,38.349999999999994,-79.7,294.0
89,Benny Snell Jr.,RB,29.200000000000003,-79.8,295.0
54,Greg Dulcich,TE,35.85,-80.15,297.0
98,Brandon Bolden,RB,28.85,-80.15,297.0
120,Rashard Higgins,WR,37.9,-80.15,297.0
124,Chris Moore,WR,37.6,-80.44999999999999,299.0
117,Quintez Cephus,WR,37.4,-80.65,300.0
91,Trey Sermon,RB,28.05,-80.95,301.0
56,John Bates,TE,34.6,-81.4,302.0
123,Jaylon Moore,WR,36.6,-81.44999999999999,303.0
92,Deon Jackson,RB,27.55,-81.45,304.0
122,Ben Skowronek,WR,36.5,-81.55,305.5
99,Dare Ogunbowale,RB,27.450000000000003,-81.55,305.5
93,Kyren Williams,RB,26.95,-82.05,307.0
100,Ty Johnson,RB,26.9,-82.1,308.0
57,Ian Thomas,TE,33.55,-82.45,309.0
125,Demarcus Robinson,WR,35.35,-82.69999999999999,310.0
95,Pierre Strong Jr.,RB,25.849999999999998,-83.15,311.0
97,Snoop Conner,RB,25.650000000000002,-83.35,312.0
96,Jaylen Warren,RB,25.35,-83.65,313.0
58,Marcedes Lewis,TE,31.75,-84.25,314.0
103,Royce Freeman,RB,24.6,-84.4,315.0
102,Qadree Ollison,RB,24.55,-84.45,316.0
126,Dez Fitzpatrick,WR,33.15,-84.9,317.0
106,DeeJay Dallas,RB,23.85,-85.15,318.0
127,Marquise Goodwin,WR,32.8,-85.25,319.0
59,Ryan Griffin,TE,30.65,-85.35,320.0
130,Kyle Philips,WR,32.25,-85.8,321.0
27,Marcus Mariota,QB,212.7,-85.90000000000003,322.0
128,Equanimeous St. Brown,WR,32.05,-86.0,323.0
60,Chris Myarick,TE,29.9,-86.1,324.0
104,Gary Brightwell,RB,22.5,-86.5,325.0
131,Cody Hollister,WR,31.45,-86.6,326.0
28,Zach Wilson,QB,211.8,-86.80000000000001,327.0
129,Keke Coutee,WR,31.049999999999997,-87.0,328.0
136,Damiere Byrd,WR,30.65,-87.4,329.0
132,Tutu Atwell,WR,30.5,-87.55,330.0
138,Trent Sherfield,WR,30.200000000000003,-87.85,331.0
105,Patrick Taylor Jr.,RB,20.9,-88.1,332.0
133,Anthony Schwartz,WR,29.900000000000002,-88.14999999999999,333.0
137,Kalif Raymond,WR,29.9,-88.15,334.5
134,Zach Pascal,WR,29.9,-88.15,334.5
61,Zach Davidson,TE,27.8,-88.2,336.0
135,Montrell Washington,WR,29.5,-88.55,338.0
62,Jake Ferguson,TE,27.45,-88.55,338.0
139,Auden Tate,WR,29.5,-88.55,338.0
141,Anthony Miller,WR,28.95,-89.1,340.0
63,Maxx Williams,TE,26.85,-89.15,341.0
107,Jermar Jefferson,RB,19.8,-89.2,342.0
111,Trestan Ebner,RB,19.5,-89.5,343.0
108,Darrynton Evans,RB,19.4,-89.6,344.0
109,Tony Jones Jr.,RB,19.2,-89.8,345.0
110,Jonathan Williams,RB,19.15,-89.85,346.0
140,Dyami Brown,WR,27.9,-90.15,347.0
64,Brycen Hopkins,TE,25.25,-90.75,348.0
65,Jacob Harris,TE,25.2,-90.8,349.0
144,Calvin Austin III,WR,27.05,-91.0,350.0
112,Jerome Ford,RB,17.95,-91.05,351.0
116,Ty Chandler,RB,17.9,-91.1,352.0
142,Jalen Reagor,WR,26.849999999999998,-91.2,353.0
145,Lynn Bowden Jr.,WR,26.65,-91.4,354.0
143,DJ Turner,WR,26.25,-91.8,356.0
67,Shaun Beyer,TE,24.2,-91.8,356.0
66,Nick Muse,TE,24.2,-91.8,356.0
115,Dwayne Washington,RB,17.150000000000002,-91.85,358.5
119,Trenton Cannon,RB,17.150000000000002,-91.85,358.5
113,Antonio Williams,RB,17.1,-91.9,360.0
114,Kene Nwangwu,RB,16.8,-92.2,361.0
117,Darwin Thompson,RB,16.4,-92.6,362.0
122,Kylin Hill,RB,16.2,-92.8,363.0
73,Parker Hesse,TE,23.1,-92.9,364.5
68,Chris Manhertz,TE,23.099999999999998,-92.9,364.5
148,Ray-Ray McCloud,WR,25.049999999999997,-93.0,366.0
69,Kenny Yeboah,TE,22.9,-93.1,367.0
126,C.J. Ham,RB,15.7,-93.3,368.5
70,Tyler Kroft,TE,22.700000000000003,-93.3,368.5
147,Antoine Wesley,WR,24.650000000000002,-93.39999999999999,370.0
71,Brock Wright,TE,22.6,-93.4,371.5
125,Demetric Felton Jr.,RB,15.600000000000001,-93.4,371.5
124,Keith Smith,RB,15.55,-93.45,373.0
118,Jordan Mason,RB,15.45,-93.55,374.0
76,Zach Gentry,TE,22.4,-93.6,375.0
74,Nick Boyle,TE,22.25,-93.75,376.0
120,Rico Dowdle,RB,15.100000000000001,-93.9,377.0
75,Noah Gray,TE,22.05,-93.95,378.0
72,Jody Fortson,TE,21.65,-94.35,379.0
77,John FitzPatrick,TE,21.6,-94.4,380.0
121,Trayveon Williams,RB,14.5,-94.5,381.5
78,Connor Heyward,TE,21.5,-94.5,381.5
79,Blake Bell,TE,21.35,-94.65,383.0
146,Deonte Harty,WR,23.25,-94.8,384.0
154,Dareke Young,WR,23.150000000000002,-94.89999999999999,385.0
151,Tyrie Cleveland,WR,23.15,-94.9,386.0
150,Erik Ezukanma,WR,22.950000000000003,-95.1,387.0
152,Demetric Felton Jr.,WR,22.85,-95.19999999999999,388.0
80,Drew Sample,TE,20.6,-95.4,389.0
149,Richie James Jr.,WR,22.549999999999997,-95.5,390.0
155,Tylan Wallace,WR,22.45,-95.6,391.0
153,Cam Sims,WR,22.35,-95.69999999999999,392.0
123,Keaontay Ingram,RB,13.0,-96.0,393.0
156,Simi Fehoko,WR,21.75,-96.3,394.0
130,Alec Ingold,RB,12.35,-96.65,395.5
159,Kristian Wilkerson,WR,21.4,-96.65,395.5
157,Ashton Dulin,WR,21.349999999999998,-96.7,397.0
158,Khalil Shakir,WR,21.3,-96.75,398.0
128,Duke Johnson Jr.,RB,12.0,-97.0,399.5
160,Jalen Nailor,WR,21.049999999999997,-97.0,399.5
127,Mike Boone,RB,11.95,-97.05,401.0
81,Luke Farrell,TE,18.5,-97.5,402.0
161,David Moore,WR,20.45,-97.6,403.0
82,Ko Kieft,TE,17.9,-98.1,404.0
134,Patrick Ricard,RB,10.7,-98.3,405.0
129,Justice Hill,RB,10.5,-98.5,406.0
