	Joe Mixon	Tyreek Hill	Jalen Hurts	Dalton Schultz	Josh Jacobs	Marquise Brown	Chase Claypool	Marvin Jones	Mark Ingram	Rex Burkhead	Gerald Everett	Nico Collins
931	9.5	20.5	16.28	0.4	17.4	17.3	19.0	17.6	2.6		9.7	3.2
932	12.7	7.8	21.8	1.1	31.9	16.1	1.9	5.5	6.4	6.6	2.8	1.4
933	21.1	7.0	0.24	5.4	15.0	5.3	3.8	33.3	7.1	5.4	2.1	9.3
934	9.4	0.2	16.28	1.4	17.4	24.5	5.4	5.2		6.6	0.7	4.4
935	6.0	13.6	27.64	2.1	3.6	4.4	9.4	5.1	3.0	0.5	1.3	3.5
936	9.4	20.5	18.62	5.4	12.8	8.5	4.1	16.0	10.3	1.3	8.8	4.4
937	6.3	0.2		11.8	5.0	5.5	19.0	10.0	8.1	6.6	3.2	1.4
938	13.0	20.5	25.0	12.7	20.4	2.7	9.6	16.1	7.9	10.8	2.3	2.5
939	13.0	6.7	19.28	4.8	5.0	9.9	1.5	4.2	2.8		9.0	2.5
940	6.8	21.8	16.66		12.8	5.1	4.8	3.5	5.3	10.8	0.3	1.4
941	21.1	7.0	0.5	20.0	9.9			5.2	2.4		2.3	1.4
942	2.4	16.0	11.22	11.8	31.9	3.8		5.1	4.0	0.6	9.7	4.4
943	8.6	36.6	25.0	5.3	12.8	4.3	19.0	11.5	7.4	5.4	6.3	5.5
944	9.4	8.8	27.64	1.8	10.9	5.1	1.9	5.2	20.5	0.9	4.0	9.3
945	13.0	20.5	28.18	5.4	17.4	2.7	3.8	5.5	2.9	5.4	3.7	3.5
946	24.3	6.7	37.82	2.3	12.4	0.6	6.1	0.9	14.5		8.8	6.7
947	6.3	6.7	28.18	5.4	3.6	0.8	2.4	0.8	1.8		5.4	4.4
948	36.1	13.6	21.8	1.1	25.6	3.7	5.4	10.3	3.0	4.1	3.6	5.5
949	1.7	13.6	23.54	14.1	16.1	4.1	9.4	30.0	2.0	1.4	8.8	2.8
950	8.7	23.6	27.64	11.8	14.0	9.8	4.3	0.9	1.8	0.6	0.7	6.7
951	23.0	10.6	23.54	7.9	20.9	3.8	7.0	2.5	6.2	0.5	6.0	0.9
952	2.7	6.7	20.54	0.4	12.9	4.3	11.9	4.8	4.1	18.6	8.0	6.9
953	21.1	16.2	28.76	0.6	7.3	4.3		17.6	4.1	6.6	6.3	
954	6.0	0.2	30.78	4.3	9.4	1.3	6.1	6.2	1.8	4.7	-3.3	4.4
955	9.5	7.0	22.92	1.8	6.3	1.3	1.7	17.2	2.9			3.2
956	6.0	7.6	22.92	4.5	12.7	4.3	4.3	7.0	6.6		3.7	2.5
957	25.5	25.7	25.0	1.4	5.0	8.5	9.5	5.5	2.0	10.8		3.5
958	21.1	24.1	16.66	1.4	12.8	15.1	1.7	2.9	0.2	3.2	9.7	0.7
959	9.5	16.8	27.64		20.5	13.8	9.4	15.9	14.5	5.0	12.8	2.8
960	7.9	15.4	21.8	1.4	10.4	8.6	4.8	5.2	2.9	6.6	2.5	1.4
961	13.7	2.5	20.54	7.4	3.6	13.4	6.1	2.1	1.7	1.5	3.4	6.7
962	9.5	19.2	19.28	7.9	31.9	5.3	16.1	4.6	7.1	8.5		4.4
963	16.3	36.6	20.54		16.0	9.8	4.3	2.4	2.4	0.7	3.6	2.5
964	7.1	36.6	11.22	4.4	10.4	4.2	5.4	4.8	16.8		0.2	6.7
965	12.7		11.22	20.0	9.4	3.7	4.1	5.2	13.4	4.3	0.7	9.3
966	10.7	21.8		5.4	3.6	14.0	4.8	4.6	18.2	0.9	0.9	2.5
967	9.4	1.9	2.6	1.4	10.4	5.3	4.1	1.1	22.6	0.6	8.0	2.5
968	36.1	11.0	12.96	4.5	17.4	3.7	9.5	15.6	23.8	4.3	4.0	5.5
969	9.4	3.3	28.76		10.9	10.5	17.3	17.6	9.3	9.2	3.6	3.2
970	6.0	36.6	12.96	13.2	12.8	15.1	11.9	4.8	4.0	6.6	9.7	9.3
971	9.5	1.8	28.18	5.3	14.0	3.7	4.3	4.6			12.8	2.8
972	15.6	2.9	23.54	12.6	26.3	8.6	9.4	3.5	1.7	0.6	0.3	
973	8.6	6.7	22.92		31.9	14.0	13.0	5.1	9.4	4.9	12.8	5.5
974	7.1	20.5	19.28	3.4	15.0	2.7	4.3	4.3	2.0		9.0	3.5
975	15.1	4.7	23.54	5.3	10.4	0.6		2.1	7.4	3.2	2.3	6.7
976	5.1	26.1		11.8	10.9	15.1	8.2	4.3	4.0	4.5	1.5	2.8
977	28.3	15.4	12.96	1.4	5.0	4.3	14.1	6.2	14.5	1.2	2.7	0.7
978	1.7	25.7	16.68	12.7	20.5	13.4	7.3	3.5	7.7	4.7	-3.3	4.4
979	21.1	4.2	20.54	4.3	16.1	3.7	1.7	5.1	1.6	4.8	1.7	0.7
980	25.5	6.5	20.54	14.2	10.4	24.5	5.4	4.3	1.8	0.6		5.5
981	21.0	20.5	28.18	2.3	5.0	11.0	19.0	0.8	2.6	6.6	2.0	6.9
982	7.1	1.9	0.2	0.4	31.9	14.0	4.3	7.0	4.1		6.0	2.8
983	1.7	15.0		0.4	13.4	8.5	5.4	3.5	2.4	6.6	6.8	5.5
984	21.3	20.5	27.64	7.0	9.4	4.1	4.1	15.9	10.9		16.9	3.2
985	1.7	18.8		3.5	2.4	2.3	13.0	4.3		4.0	2.5	6.7
986	25.5	4.2	21.8	7.0	14.2	5.3	9.5	17.6	1.7		0.3	5.5
987	8.6	2.5	25.0	2.1	3.6	2.7	8.2	1.1	13.7	5.0	3.4	4.4
988	12.7	11.4	27.64	0.4	16.0	4.9	8.2	6.2	2.4	0.6	5.2	6.9
989	6.3	5.1	21.8		4.4	16.2	6.1	8.0	0.2		0.2	1.4
990	9.4	11.0	28.76	4.4	15.0	0.1	19.0	30.0	1.8	10.8	0.2	
991	21.3	15.4	20.54	2.1	6.3	11.0	11.9	2.5	2.9	3.2	9.0	9.3
992	25.5	18.8	16.68	2.2	16.0	5.1	6.7	6.2	4.0	0.7	1.3	1.4
993	6.0	20.0	12.96		20.4	11.0	6.1	6.2	8.1			6.9
994	36.1	44.9	6.86	12.6	20.4	5.5	5.4	3.5	1.8	18.6	3.2	6.9
995	6.8	23.1	16.68	5.4	5.0	11.6	1.5	2.4	14.5	0.9	2.4	
996	6.0	6.7	20.54		10.4	9.8	8.2	3.5	9.3			0.7
997	21.3	15.4	12.96	0.6	25.6	10.5	5.4	14.8	2.6	4.5	1.6	1.4
998	21.3	20.8	16.66	7.9	20.4	14.5	1.5	8.0	5.3	4.0	2.7	6.7
999	13.7	23.1	28.76	12.7	12.9	11.6		3.5	14.5	5.4	0.2	2.8
1000	28.3	4.2	37.82	14.1	17.2	4.1	1.7	5.1	4.1	4.0	8.8	9.3
1001	3.9	6.7	6.86	1.1	20.9	4.4	1.9	30.0	2.6	6.6	9.0	2.8
1002	7.3	7.8	23.54		3.6	11.0	6.1	5.5	14.5		2.7	6.7
1003	9.4	7.6	16.28	1.1	6.1	2.7	8.2	7.7	23.8	10.8	2.7	3.5
1004	21.0	26.1	16.66	4.8	3.1	1.4	35.6	8.0	22.6	1.4	2.0	2.8
1005	9.4	20.8	20.54	5.4	17.2	5.5	9.4	7.4	7.9	10.8	5.2	2.5
1006	21.0	6.5	20.54	7.9	14.0	24.5	6.1	7.4	20.5	6.6	1.3	2.8
1007	6.0	15.3	28.76	2.2	5.7	8.6	9.6	33.3	4.0	3.4	0.9	2.8
1008	13.7	36.6	11.22	1.4	5.7	3.5	2.4	2.1	2.9	1.4	4.0	0.9
1009	6.0	5.1	9.26	7.4	10.9	3.8	3.8	16.0	1.7	0.7	3.4	2.5
1010	13.7	22.0	0.72	13.2	12.9	0.8	9.6	18.6	2.0	7.9	-3.3	4.4
1011	15.5	11.0	2.6	3.4	12.9	13.4	4.7	2.4	2.9	1.4	5.4	4.4
1012	23.0	10.6	37.82	1.8	10.4	5.5	9.4	17.6	2.4	4.7	1.7	4.4
1013	24.3	20.5	18.62	3.5	10.9	5.5	16.1	2.5	7.7	3.2	5.4	6.9
1014	16.3	44.9	0.72	12.7	15.0	5.1	16.1	1.7	9.7	4.5	2.0	6.9
1015	21.3		28.18	12.8	6.9	3.7	4.1	17.6	1.8		9.7	9.3
1016	24.3	22.0	28.18	11.8	8.1	24.5	19.0	5.2	11.3	0.5	4.0	3.2
1017	1.7	12.4	11.22	8.5	3.6	6.3	5.4	7.0	0.2	4.7	9.0	1.4
1018	21.3	6.7	37.82		6.3	5.3	5.4	2.5	16.8	10.8	-3.3	9.3
1019	21.3	15.4	30.78	0.4	14.0	4.3	13.0	2.1	14.5	10.8	2.8	1.4
1020	21.3	18.8	30.78	1.1	15.0	14.0	8.2	8.3	8.1	7.9	6.8	5.5
1021	5.1	7.8	1.8	7.4	10.4	13.8	9.6	1.1	8.1	4.5		0.7
1022	6.4	10.6	20.54	4.4	12.7	11.6	11.9	5.5	4.0	1.5	9.0	6.7
1023	21.0	2.1	16.68	20.0	5.7	11.6	4.3	16.0	3.0	27.8	2.1	5.5
1024	28.3	15.4	11.22	7.9	14.2	3.7	6.1	10.3	23.8	3.2	2.0	3.2
1025	21.1	26.1	6.86	4.5	14.2	1.5	4.3	1.9	8.6	4.7	0.7	0.9
1026	24.6	8.1	22.92	3.5	7.3	0.8	16.1	5.1	16.8	12.7	4.4	3.5
1027	4.9	18.8	28.76	3.5	12.7	3.5	9.6	18.6	3.9	6.6	9.0	2.8
1028	15.5	20.5		12.6	3.6	11.6	1.7	2.5	13.7		8.8	2.8
1029	9.4	2.2		0.4	10.4	5.7	19.0	5.1	20.5			3.5
1030	21.1	36.6	18.58		24.0	1.3	14.1	1.1	13.7	5.4	2.3	4.4
1031	6.3	2.2	28.18		14.2	3.5	7.0	16.0	8.1	7.9	2.1	6.7
1032	8.6	12.4	25.0	7.0	6.1	8.6		6.0	2.9	0.5	2.4	2.8
1033	15.4	7.6	16.66	14.2	10.9	4.4	9.6	11.5	4.1	3.4	4.0	1.4
1034	12.7	7.8	0.5	14.2	12.8	4.9		8.0	3.0	12.3	4.0	0.7
1035	28.3	10.6	28.18	4.5	5.0	14.0	9.4	11.5	9.3	5.4	8.8	4.4
1036	11.9	23.1	25.0	0.6	10.4	4.3	1.9	6.6	12.6	5.4	4.0	2.8
1037	9.4	0.2	12.96	4.5	10.8	4.4	6.1	2.1	4.1	4.3	9.7	2.5
1038	3.9	12.4	28.18	0.6	17.2	11.0	8.2	2.2	7.7	4.7	5.4	3.5
1039	2.7	26.1	16.68	20.0	6.1	8.5	1.7	1.1	2.0	7.9	4.0	9.3
1040	24.3	12.4	28.18	5.4	26.3	6.3	14.1	2.2	22.2	0.6	4.6	3.2
1041	9.4	8.5	25.0	2.1	14.0	0.8	7.3	4.3	13.4	4.0	2.7	3.5
1042	6.8	8.8	9.26	1.1	20.4	14.5	1.7	1.1	22.6	27.8	2.1	0.9
1043	6.0	0.2	6.86	5.4	9.9	0.8	2.4	5.5	13.4	4.0	2.7	9.3
1044	25.5	16.0	18.58	1.8	15.0		8.2	4.6	9.3	4.5	2.7	2.8
1045	15.4	20.8	6.86	20.0	10.4	13.8	5.2	1.7	22.3	5.4	2.3	0.9
1046	24.3	23.1	16.68	8.5	6.1	5.5	9.4	16.1	2.7	7.9	3.7	2.8
1047	29.6	6.7		11.8	17.2	4.9	2.4	15.9	1.8	18.6	3.6	2.5
1048	9.4	16.2	0.5	14.2	6.9	11.6	1.7	3.5	9.4	7.9	2.1	6.9
1049	12.7	44.9	27.64	4.8	20.4	5.7	16.1	7.0	6.6	4.0	8.8	0.7
1050	9.4	26.1	18.58		12.4	9.8	19.0	4.6	2.9	1.3	3.7	1.4
1051	25.5	20.8	2.6	4.3	10.4	26.7	11.9	16.0	12.4	0.7	12.8	0.9
1052	8.6	1.9	18.58	12.6	20.9	0.8	1.5	16.0	31.5		8.8	1.4
1053	8.6	15.0	11.22	14.1	5.0	5.3	1.9	2.5	9.2	4.0	2.7	2.8
1054	8.5	7.6		4.4	3.6	15.1	1.7	4.6	14.5		8.8	2.5
1055	11.9	7.2	20.54		13.4	11.0	11.9	5.5	0.2	3.2	8.0	0.7
1056	9.5	15.0	16.66	7.9	3.6	5.1	2.4	14.8	13.4		8.0	3.5
1057	6.0	32.2	25.0		9.9	9.9	1.9	8.3	4.3	8.5	3.4	2.5
1058	28.3	7.2	9.26		15.0	3.5	19.0	1.1	12.6	18.6	4.6	6.9
1059	19.8	6.5		4.8	15.0	4.3	7.3	3.5	2.4	2.3	13.6	5.5
1060	23.0	7.6	16.66	0.6	6.9	5.1	35.6	3.5	6.4	0.5	8.8	2.8
1061	36.1	1.9	27.64	4.3	15.0	14.0	1.9	5.1	16.8	8.3	8.0	4.4
1062	9.5	16.8	6.86	2.1	14.0	1.5	19.0	14.8	16.8	11.3	-3.3	2.5
1063	6.0	15.4	0.2	5.4	10.9	24.5	17.3	16.0	13.7	0.7	3.7	2.5
1064	36.1	15.4	2.6		14.2	11.6	14.8	1.4	5.7		2.8	0.9
1065	23.0	44.9	22.92	4.4	12.7	5.5	14.1	16.1	22.7	4.0	0.9	2.5
1066	9.4	2.2	6.86		2.4		7.3	2.5	2.0		8.8	6.9
1067	23.0	5.0	12.96	5.3	9.5	0.6	6.1	2.1	8.1	11.9	5.2	0.7
1068	28.3	20.0	18.62	14.2	4.4		9.6	10.3	5.7	0.5	6.3	5.5
1069	15.5		25.0	11.8	12.4	8.2	9.4	7.0	7.7		8.8	5.5
1070	9.4	33.5	25.0	11.8	12.8	14.0	9.5	14.8	2.9	5.4	3.7	2.8
1071	8.6	7.5	18.58	14.2	3.6		1.7	15.9	4.1		2.0	0.9
1072	8.6	2.9	0.6	11.8	7.4	4.3	7.3	15.6	2.0	6.6	2.5	0.9
1073	8.6	4.2	21.8	2.1	20.4	8.2	1.9	5.1	6.4		9.0	6.9
1074	12.7	23.1	6.86	1.8	8.1	2.2	8.2	3.5	1.7	6.6	2.0	2.8
1075	7.3	6.1	27.64		15.0	13.8	8.2	6.2	14.5	6.6	5.4	0.9
1076	9.4	7.6	16.66	0.6	10.8	14.0	1.5	8.0	2.0	4.5	5.2	5.5
1077	12.9	2.1	16.68	14.1	20.5	11.6	5.4	15.9	2.0	12.7	8.0	3.2
1078	15.6	1.9	16.28	2.4	12.8	17.3	1.7	5.2	13.4	7.9	2.2	5.5
1079	17.5	11.4	11.22	1.1	4.4	11.6	8.2	1.7	2.9	4.9	6.0	3.2
1080	10.0	15.4	18.62	14.1	10.9	11.6	9.4	4.6	4.0		6.3	5.5
1081	12.7	16.8	20.54	4.3	3.6	10.1	5.4	5.2	6.6		1.6	4.4
1082	11.9	7.8	6.86	4.8	10.4	3.7	1.7	6.2	2.6	0.9	11.0	0.7
1083	12.9	36.6	20.54		20.9	10.1	1.9	1.1	15.1	5.4		4.4
1084	24.3	2.9	6.86	20.0	16.1	0.8	8.2	3.8	10.9			6.7
1085	6.4	13.6	28.76	0.4	12.7	16.1	8.2	8.0	22.7	6.6	9.7	3.5
1086	24.3	20.8	22.92	14.1	20.4	8.5	4.1	6.2	2.9	12.9	4.0	5.5
1087	21.3	13.6	0.6	5.3	14.2	24.5	14.8	1.4	1.8	4.9	2.8	5.5
1088	15.4	2.9	12.96	11.8	20.5	5.3	19.0	1.1	7.7	1.5	2.9	6.9
1089	9.4	36.6	27.64	7.4	10.4	24.5	1.7	16.0	2.7	0.9	-3.3	4.4
1090	11.9	6.7	0.5		20.9	14.0	13.0	33.3	2.9	12.9	1.6	5.5
1091	9.4	4.7	30.78	11.8	5.7	0.6	5.2	7.0	6.2		0.3	2.8
1092	15.6	20.5	0.36	1.8	31.9	4.4	7.0	11.5	2.0	5.4	8.8	0.9
1093	3.9	2.2	19.28		6.1	9.9	1.7	16.1	14.5		3.7	3.5
1094	1.7	26.1	28.76	14.1	25.6	24.5	4.1	30.0	5.3	2.6	12.8	3.2
1095	2.7	2.9	11.22	1.1	17.2	1.5	13.0	4.8	9.3		4.0	
1096	21.0	11.0	21.8		7.3	11.6	1.7	1.1	9.4		3.7	9.3
1097	4.8	7.2	20.54	5.3	10.8	11.6	9.6	17.6	6.2		2.3	6.7
1098	15.4	15.3	16.28	4.3	9.5	4.8	7.0	13.7	9.3	26.9	8.8	4.4
1099	3.9	0.2	16.66		25.6	13.4	16.1	8.3	2.6	10.8		
1100	15.4	24.1	6.86	8.5	9.5	11.0	5.2	6.4	14.5	6.6	0.3	5.5
1101	12.7	16.2	20.54		15.0	24.5	19.0	2.5	2.6	1.4	2.7	3.2
1102	7.1	7.8	9.26	12.6	12.8	4.4	4.3	3.5	6.4	4.7	8.8	0.9
1103	8.6	36.6	20.54	14.1	7.3	4.4	13.0	14.8	4.0	4.5	0.8	2.5
1104	11.1	7.6	12.96	4.8	9.4	5.3	4.7	11.5	15.1	6.6	6.0	5.5
1105	7.8	2.2	0.36	11.8	12.7	5.7	14.8	3.8	6.4	3.7	0.9	4.4
1106	14.4	8.8	23.54	12.7	10.4	13.4	1.9	13.7	4.0	8.5	1.5	
1107	24.3	1.9	0.2	1.1	4.4	5.3	6.7	3.5	12.4	1.2	1.5	1.4
1108	12.9	26.1	9.26	1.7	4.4	1.4	4.3	2.4		5.4		9.3
1109	8.6	15.4	20.54	5.4	5.0	4.4	14.1	3.5	4.2	6.6	6.7	
1110	9.4	4.7	9.26		17.2	1.3		30.0	6.4	0.5		3.5
1111	25.5	2.1	23.54	0.6	31.9		19.0	1.1	3.0	0.5	4.0	3.5
1112	25.5	16.2	6.86	7.9	9.5	13.8	13.0	4.3	10.3	0.6	8.8	6.7
1113	1.7	15.3	12.96	3.5	20.4	6.3	4.3	4.3	4.1	7.9	5.2	6.7
1114	9.5	20.8	30.78	12.6	31.9	4.4	8.2	5.2	2.9	12.7	0.9	6.7
1115	24.6	23.1	21.8		16.1	3.7	4.1	3.5	1.8		3.2	6.9
1116	12.7	11.4	28.18	5.4	5.0	8.6	16.1	3.5	4.0	18.6	2.7	2.5
1117	28.3	21.8	25.0	1.4	17.4	5.3	19.0	13.7	2.7	4.5	2.3	2.8
1118	24.3	26.1	25.0	5.4	17.2	14.0	8.2	2.2	2.7	4.5	3.7	3.5
1119	23.0	13.4	1.8	1.4	20.5	8.6	4.1	10.0	4.0		12.8	
1120	15.6	26.1	16.66	13.2	17.2	1.4	4.3	14.1	18.2	6.9	2.3	6.7
1121	12.7	8.8	6.86	7.9	3.6	17.3	1.7	5.4	2.7		12.8	2.8
1122	9.4	5.6	6.86	5.4	16.0	13.4	8.2	5.5	1.8		0.2	9.3
1123	28.3	0.2	0.24		3.6	14.5	7.0	2.2	11.3	4.7	0.7	
1124	25.5	24.1	25.0	3.5	12.8	2.7	7.0	2.1	3.0	12.3	5.2	2.5
1125	25.5	5.0	37.82	12.8	2.4	4.2	5.4	4.8	2.6	7.9	0.7	6.7
1126	25.5	23.1	6.86		20.9	14.5	1.5	3.5	7.1	12.7	2.7	3.2
1127	9.4	6.1	2.6	2.2	10.4		4.3	4.6	2.0	7.9	-3.3	1.4
1128	25.5	15.4	11.22	12.6	6.1	5.1	4.1	17.2	16.8	1.7	5.4	2.5
1129	25.8	12.4	6.86	7.0	4.4	5.5	8.2	3.5	1.8	3.7		5.5
1130	21.1	10.6	0.6		14.2	16.1	1.7	2.1	2.6	4.0		3.2
1131	9.4	2.2	27.64	1.1	12.8	13.4	9.4	7.7	8.1	4.9	6.3	0.7
1132	9.4	7.6	18.62	3.4	10.4	14.5	8.2	1.1	8.1	4.5	6.0	2.5
1133	9.4	10.6	27.64	14.2	14.0	15.1	16.1	14.8	2.0	5.4	3.6	6.9
1134	23.0	10.6	16.28	0.6	12.7	4.4	1.9	15.9	12.4	4.1	-3.3	5.5
1135	9.5	23.1	22.92	5.4	5.7	4.1	8.2	1.4	3.9	5.4	0.9	6.7
1136	15.1	6.5	12.96	2.1	26.3	4.9	13.0	5.5	3.0	4.0	2.7	2.5
1137	9.4	7.6	16.66	14.1	31.9	5.5	3.8	33.3	1.7	13.7	6.0	3.5
1138	15.4	19.8	25.0	3.4	16.0	17.3	13.0	30.0	20.5		2.1	3.2
1139	4.9	23.1	16.66	11.8	6.1	4.2	1.9	16.1	1.7	0.9	5.4	0.9
1140	21.1	11.5	0.5	12.8	3.1	11.6	14.1	8.3	2.7	5.4	9.7	2.5
1141	7.9	8.8	27.64	5.4	20.5	11.6	1.7	7.0	3.0	26.9	5.2	2.8
1142	1.7	12.4	11.22	4.5	10.4	10.1	16.1	33.3	7.9	4.0	1.3	6.7
1143	24.3	11.0	11.22		12.8	3.7	6.7	4.3	1.7	5.4	2.0	6.7
1144	9.4	36.6	0.24	2.1	14.0	8.6	17.3	1.1	4.0	0.6		9.3
1145	9.5	0.2	0.5	5.4	14.2	3.7	16.1	1.9	7.4	6.6	-3.3	4.4
1146	8.6	4.7	6.86	4.8	5.0	4.9	4.1	2.5	12.4	7.9	4.0	2.8
1147	25.5	11.0	22.92	3.5	10.4	4.4	1.9	2.2	22.7		4.0	0.7
1148	28.3	2.9	21.8	0.4	9.4	1.3	4.7	13.7	14.5		8.0	6.9
1149	9.5	32.2	0.72		12.8	5.3	9.5	17.6	2.9	0.5	2.0	3.5
1150	6.0	4.2	30.78	11.8	9.4	5.7	8.2	16.1	4.0	4.7	2.3	9.3
1151	36.1	20.8	28.76	11.8	10.4	4.3	6.1	3.5	20.5	5.4	0.7	0.9
1152	21.0	13.6	28.76	5.4	16.0	5.3	5.4	4.3	13.4	2.6	2.8	2.8
1153	28.3	8.7	18.58	2.1	14.0	24.5	6.7	1.1	4.1		3.6	5.5
1154	36.1	16.0		12.7	6.3	8.5	5.4	5.1	10.3	26.9	5.7	5.5
1155	12.7	3.3	20.54	7.9	3.1	4.4	8.2	4.3	2.0	1.4	-3.3	3.5
1156	21.1	23.1	30.78		14.0	4.3	8.2	2.4	2.0	12.7	6.0	2.8
1157	23.0	26.1			25.6	17.3	9.6	15.9	4.1	7.9		9.3
1158	24.3	44.9	28.76		6.3	14.0	8.2	3.8	14.5	5.0	4.4	2.8
1159	6.5	1.9	12.96	5.4	20.5	4.8	8.2	11.5	2.7	5.4	8.0	
1160	13.7	20.5	25.0	5.4	14.2	15.1	5.4	3.5	2.9	4.8	3.4	3.2
1161	16.3	21.8	21.8		10.4	3.7	14.8	7.4	3.9	6.8	6.0	9.3
1162	24.3	6.7	25.0	20.0	12.4	5.3	4.3	30.0	2.9		1.3	3.5
1163	9.4	19.8	16.66	7.4	24.0	4.4	5.4	2.5	2.6		2.5	5.5
1164	6.4	7.6	28.76	12.6	10.4	24.5	9.6	7.0	1.7	18.6	3.7	3.2
1165	12.9	3.5	30.78	5.4	15.0	3.8	4.8	7.7	9.3	12.7	-3.3	2.8
1166	3.9	13.6	16.66	1.1	14.0	24.5	6.1	15.6	4.0	4.9	9.7	9.3
1167	21.0	12.8		2.1	12.8	4.3	13.0	8.3	3.9	27.8	-3.3	9.3
1168	15.5	4.7	37.82	0.4	17.4	2.7	19.0	16.1	2.9	1.3	4.0	6.9
1169	9.4	23.1	37.82	7.9	4.4	11.6	19.0	16.1	2.4		1.3	0.9
1170	21.0	13.6	12.96	2.1	24.0	2.7	16.1	3.5	2.6	5.4	8.8	2.8
1171	6.0	6.7	12.96	5.4	14.2	1.3	4.1	18.6	1.7	6.9	3.4	
1172	36.1	11.0	18.62	7.9	25.6	10.1	9.5	2.5	1.7	4.7	-3.3	2.5
1173	6.4	11.4	0.6	4.8	10.4	14.0	2.4	2.4	1.7	10.8	2.0	6.7
1174	14.4	11.4	37.82		31.9	10.1	1.7	2.4	2.9	0.5	-3.3	0.9
1175	6.0	36.6	28.18	1.1	12.8	5.3	7.0	8.3	9.3	0.9	3.2	0.9
1176	12.9	8.1	6.86	5.4	16.1	8.6	4.3	6.0	9.2	10.4	2.7	3.5
1177	9.4	16.8	12.96	5.4	20.4		8.2	2.5	9.7	10.8	6.8	3.2
1178	23.0	7.8	25.0	12.8	14.2	17.3	7.0	16.0	23.8		2.0	2.5
1179	28.3	2.5	25.0	7.9	7.3	16.2	6.1	7.4	0.2	4.7	0.2	2.5
1180	7.1	13.4	2.6		9.5	11.0	4.1	2.4	6.4	11.9	6.3	2.8
1181	15.1	11.4	18.62	3.5	6.3	5.7	1.9	1.1	8.1	0.6	-3.3	0.9
1182	29.6	4.7	21.8	1.8	7.4		7.0	3.8	1.7	6.6		2.8
1183	25.8	20.8	9.26	1.1	7.4	15.1	9.5	15.6	2.4	4.5	4.0	9.3
1184	8.6	2.2	1.8	7.9	5.0	14.0	7.0	13.7	20.5	6.8	4.4	6.9
1185	28.3	13.6	11.22	12.8	20.9	5.1	1.9	2.1	1.8	1.2	9.7	4.4
1186	7.3	11.0	21.8	2.4	9.5	5.7	1.7	5.4	1.8	0.9	4.0	
1187	12.9	11.0	6.86	20.0	25.6	9.9	6.1	1.4	2.9		2.0	4.4
1188	7.1	16.2	28.76	7.9	15.0	3.7	9.4	4.6	13.4	0.6	12.8	2.5
1189	24.3	20.8	20.54	20.0	14.0	11.6	8.2	11.4	16.8	0.6	12.8	4.4
1190	9.4	5.6	12.96	4.4	14.2	1.3	7.0	4.8	9.2	1.2	2.3	4.4
1191	5.1	2.5	23.54	1.1	20.9	10.1	11.9	4.6	15.1	7.9	6.3	0.9
1192	24.3	4.7	23.54	2.3	12.4	11.0	6.1	1.1	1.7	5.4	0.7	4.4
1193	21.3	3.3	16.68	4.5	10.8	16.2	11.9	2.4	2.6		3.2	2.5
1194	11.9	11.5	16.68	4.5	10.4	24.5	8.2	13.7	5.7	4.0	5.4	3.5
1195	21.3	44.9	28.18		5.7	11.6	1.7	4.8	1.7	5.0	4.4	5.5
1196	21.3	1.9	12.96	1.1	31.9	17.3	9.5	0.9	15.1	0.5	8.0	5.5
1197	15.1	36.6	0.5	1.4	3.6	15.1	17.3	4.8	4.1	6.6	9.7	0.9
1198	9.5	22.0		0.7	6.1	14.5	7.0	0.8	2.9	4.0	6.0	9.3
1199	6.3	6.7	0.72		14.2	5.1	6.7	5.2	19.3	6.6	10.4	5.5
1200	9.5	16.0	28.18	12.8	5.0	4.1	2.4	17.6	2.4	6.6	1.6	2.8
1201	6.8	15.3	18.62	3.4	12.7		8.2	11.5	13.4	9.2	2.5	2.8
1202	6.8	15.4	9.26	2.2	20.4	10.1	7.3	17.6	2.8	1.3	12.8	3.5
1203	4.9	11.0	6.86	14.2	20.9	8.5	6.7	14.8	5.7	4.0	9.0	2.8
1204	11.9	3.3	28.76	11.8	14.2	0.8	9.4	3.5	14.5		0.2	3.2
1205	9.4	26.1		7.4	24.0	3.7	8.2	4.8	2.7	7.9		5.5
1206	28.3	15.4	27.64		7.4	14.0	5.4	6.2	14.5		3.6	3.5
1207	5.1	26.1	0.72	4.5	31.9	15.1	6.7	13.7	13.4	1.2	0.3	2.8
1208	5.1	2.2	0.72	14.1	5.0	14.0	4.3	5.4	2.9	7.9	2.0	0.9
1209	8.6	1.9	23.54	1.8	20.5	14.0	4.7	0.8	22.6	0.7	2.7	0.9
1210	9.5	5.1	2.6		5.7	14.0	1.9	1.1	2.7	10.8	2.3	6.7
1211	20.9	11.0	16.68	12.7	6.3	5.1	9.6	3.5	6.4	4.5	1.3	5.5
1212	15.6	7.8	18.62	4.5	6.9	24.5	5.4	4.3	6.2	4.3	11.0	
1213	12.7	6.7	0.5		31.9	0.8	1.7	1.1	22.6	1.3	2.3	1.4
1214	10.7	13.6	25.0	13.2	20.4	3.7	5.4	15.9	2.9	4.7	0.9	5.5
1215	24.3	15.4	27.64	1.8	15.0	26.7	5.2	1.1	3.9		-3.3	3.2
1216	36.1	3.3	23.54	1.4	12.4	8.6	8.2	16.0	7.9	10.8	5.4	2.8
