	Joe Mixon	Tyreek Hill	Jalen Hurts	Dalton Schultz	Josh Jacobs	Marquise Brown	Chase Claypool	Marvin Jones	Mark Ingram	Rex Burkhead	Gerald Everett	Nico Collins
64	7.1	8.8	23.54		12.9	4.9	6.1	15.9	31.1			2.5
65	9.4	2.9			9.5	3.8	13.0	16.1	0.2	5.4	4.0	0.9
66	6.5	7.6	37.82	0.6	17.4	4.3	9.6	11.4	2.4	4.0	2.2	4.4
67	21.0	21.8	27.64	0.4	3.6	15.1	9.4	7.7	2.9	4.5	8.0	3.2
68	21.0	7.6	0.72		17.4	3.5	19.0	5.1	21.5	3.1	3.4	6.9
69	24.6	36.6	16.68	2.4	20.4	2.3	6.1	5.0	17.0	27.8	5.4	9.3
70	29.6	4.2	18.62		10.4	16.1	1.7	1.4	22.6		0.3	9.3
71	12.7	20.5	11.22	14.2	6.1	10.5	6.7	0.9	2.0	12.7	1.5	3.5
72	9.4	4.7	16.66	7.9	20.4	3.5	1.7	4.3	2.4	1.4	0.9	9.3
73	7.1	15.4		4.5	20.4	5.3	6.1	33.3	2.6	0.7	0.9	3.5
74	6.8	11.0	16.68		5.7	11.6	5.2	3.5	6.2		4.0	
75	6.0	6.5		5.4	14.0	0.1	4.3	6.8	20.5	6.6	8.8	1.4
76	6.0	7.6	12.96	1.7	9.4	11.6	1.9	6.2	22.6	1.2	10.4	0.7
77	4.8	11.4	28.18	8.5	5.0	9.9	4.8	4.3	6.4	6.6	0.3	0.7
78	36.1	6.5	21.8	13.2	16.0	14.0	2.4	16.0	3.0		8.8	3.5
79	25.5	4.1	16.66		2.4	4.3	5.2	0.8	2.9	4.7	2.4	3.5
80	11.9	32.2	27.64	2.2	15.0	1.5	8.2	7.0	2.0	4.7	0.3	3.5
81	9.4	15.3	0.6	8.5	9.5	4.2	1.9	2.5	31.5	5.0	4.0	3.2
82	15.1	21.8	23.54	1.8	20.4	4.3	1.7	4.6	13.7	4.0	0.3	
83	7.1	19.2	27.64		6.9	3.8	7.3	7.0	22.2	27.8	8.0	2.5
84	9.4	16.2	12.96	2.4	9.9	0.1	6.1	5.4	5.3	0.9	0.3	0.9
85	29.6	12.4	18.62	1.7	20.5	17.3	4.1	1.7	0.2	12.7	0.2	2.5
86	15.1	7.0	0.24	5.4	15.0	13.4	13.0	4.6	8.1	4.7	1.5	2.8
87	11.9	4.2	0.72	4.8	5.7	10.1	5.4	1.1	2.6	4.7	12.8	2.8
88	25.5		25.0	5.3	15.0	9.9	13.0	1.4		7.9	8.8	2.5
89	10.6	16.8	20.54		7.4	11.6	35.6	0.8		5.0	3.7	3.5
90	13.0	11.4	25.0	3.5	6.1	24.5	9.4	16.0	12.6		5.4	6.9
91	11.9	14.5	6.86	20.0	6.1	8.2	35.6	16.1	2.0	1.5		3.2
92	8.6	10.6	16.68	7.0	12.7	1.4	7.0	7.0	7.1		9.5	3.5
93	9.4	36.6	18.62		20.9	11.6	9.5	14.8	3.9	8.5	3.2	6.7
94	28.3	6.5	2.6		10.5	8.5	9.5	11.5	2.6		0.2	0.9
95	6.8	11.0	12.96	0.6	8.1	8.6	9.5	17.6	8.1	4.3	0.3	
96	8.6	11.5	19.28		6.3	4.4	8.2	5.2	16.8	6.6	8.8	3.2
97	17.5	4.1	0.72	3.5	17.2	14.5	8.2	7.0	22.6	6.6	6.3	4.4
98	21.3	23.1	28.76	11.8	6.1	11.0	6.7	17.2	7.7		8.0	2.8
99	14.4	20.8	2.6	0.4	3.6	8.6	1.9	2.1	2.9	5.0	2.0	2.5
100	7.1	20.5		1.2	12.4	15.1	4.3	5.5	1.8	12.9	8.8	0.9
101	13.7	3.3		1.1	16.0		9.6	7.7	13.7	12.9	0.3	4.4
102	13.0	2.5	16.68		8.1	2.3	1.7	16.0	13.4	12.3	3.4	2.8
103	23.0	23.1	6.86	5.3	15.0	3.7	9.5	3.5	6.4	17.3	2.3	
104	12.7	13.6	23.54	1.4	20.4	4.4	9.4	5.6	23.8	3.2	0.6	3.5
105	28.3	15.4	27.64	7.9	16.0	8.5	19.0	14.8	2.9	3.2	1.3	4.4
106	12.7	44.9	0.6	3.5	20.5	11.6	8.2	6.2	23.8	5.9	9.0	2.8
107	13.0	44.9	11.22	12.6	3.6	11.6	7.0	4.8	2.6	0.5	8.8	0.7
108	13.7	15.3	25.0		14.0	2.7	4.7	3.5	7.1		1.3	0.7
109	21.0	7.8	16.66	4.8	12.9	4.2	14.8	4.2	13.4	4.5	4.6	0.7
110	28.3	21.8	22.92		6.3	0.8	3.8	11.4	4.1		3.2	3.5
111	4.2	11.4	30.78	14.1	9.5	9.9	11.9	5.1	9.7	2.2	0.3	0.9
112	7.1	26.1	25.0	14.1	12.8	13.4	3.8	4.2	0.2	26.9	9.5	2.5
113	2.4	16.8	0.72	0.6	3.6	6.3	7.3	4.3	2.9	1.3	3.7	2.8
114	15.6	23.1	21.8	7.4	25.6	0.8	1.7	4.3	6.4	4.9	8.0	1.4
115	19.8	5.4	2.6	14.2	2.4	4.8	8.2	6.2	16.8	4.7	6.3	6.7
116	10.6	4.7	28.18		16.0	11.6	4.8	1.1	4.0	26.9	3.6	2.5
117	13.7	2.5	30.78		26.3	10.1	14.1	14.8	4.1	26.9	16.9	5.5
118	25.5	20.0	21.8	11.8	10.5	5.5	9.6	2.9	2.9	3.2	13.6	2.8
119	8.6	4.7	0.24	11.8	12.7	2.7	9.5	1.9	8.1	3.2	5.2	2.8
120	9.5	26.1	30.78	8.5	12.8	4.1	4.7	5.0	1.7	6.6	6.3	
121	21.1	1.9	22.92	12.6	25.6	26.7	2.4	2.1	9.3	3.4	0.9	5.5
122	21.3	7.8		7.4	14.0	4.1	5.4	3.5	15.1	7.9	2.7	3.5
123	11.2	11.5	20.54		7.3	4.4	5.4	4.8	4.0	6.6	-3.3	3.2
124	11.9	32.2	18.62	20.0	20.4	13.4	1.7	4.3	4.1	6.6	-3.3	0.9
125	9.5	1.9	16.68	4.4	3.6	14.5	5.2	4.3	2.0	6.8	12.8	9.3
126	28.3	7.6	0.36	1.1	6.3	8.5	9.4	4.3	8.1	27.8	2.0	9.3
127	15.6	9.1		0.6	16.0	11.6	2.4	6.6	14.5	4.7	4.0	2.5
128	21.3	2.1	28.18	14.1	2.4		9.4	13.7	16.8	4.7	0.7	6.7
129	11.2	7.8	0.36	7.4	8.1	8.6	5.2	14.8	2.6	6.6	6.8	4.4
130	8.6	35.3	22.92		12.7	5.7	1.7	8.3	1.8	1.5	2.3	6.7
131	23.0	23.1	22.92	5.4	23.3	4.3	6.7	17.2	4.1	11.9	1.5	
132	21.0	15.4	28.76	12.7	6.3	3.5	4.1	2.1	1.6	1.5	2.7	3.5
133	8.6	7.6	0.2	20.0	12.4	8.6	17.3	4.8	16.8	18.6	13.6	
